,Gammaproteobacteria: Shewanella sp. ANA-3,Betaproteobacteria: Burkholderia phytofirmans PsJN,Actinobacteria: Bifidobacterium breve UCC2003,Alphaproteobacteria: Brevundimonas sp. GW460-12-10-14-LB2,Bacteroidetes: Bacteroides thetaiotaomicron VPI-5482,Betaproteobacteria: Paraburkholderia bryophila 376MFSha3.1,Betaproteobacteria: Paraburkholderia graminis OAS925,Bacteroidetes: Phocaeicola vulgatus CL09T03C04,Betaproteobacteria: Ralstonia sp. UNC404CL21Col,Alphaproteobacteria: Caulobacter crescentus NA1000,"Bacteroidetes: Echinicola vietnamensis KMM 6221, DSM 17526",Betaproteobacteria: Cupriavidus basilensis FW507-4G11,Gammaproteobacteria: Dickeya dadantii 3937,Gammaproteobacteria: Dickeya dianthicola 67-19,Gammaproteobacteria: Dickeya dianthicola ME23,Alphaproteobacteria: Dinoroseobacter shibae DFL-12,Deltaproteobacteria: Desulfovibrio vulgaris Hildenborough JW710,Gammaproteobacteria: Dyella japonica UNC79MFTsu3.2,Betaproteobacteria: Herbaspirillum seropedicae SmR1,Gammaproteobacteria: Kangiella aquimarina DSM 16071,Gammaproteobacteria: Escherichia coli BW25113,Alphaproteobacteria: Sphingomonas koreensis DSMZ 15582,Gammaproteobacteria: Klebsiella michiganensis M5al,Gammaproteobacteria: Lysobacter sp. OAE881,Gammaproteobacteria: Shewanella oneidensis MR-1,Alphaproteobacteria: Magnetospirillum magneticum AMB-1,Gammaproteobacteria: Marinobacter adhaerens HP15,Euryarchaeota: Methanococcus maripaludis JJ,Euryarchaeota: Methanococcus maripaludis S2,Deltaproteobacteria: Desulfovibrio vulgaris Miyazaki F,Betaproteobacteria: Dechlorosoma suillum PS,Gammaproteobacteria: Shewanella loihica PV-4,Bacteroidetes: Pedobacter sp. GW460-11-11-14-LB5,Alphaproteobacteria: Phaeobacter inhibens DSM 17395,"Bacteroidetes: Pontibacter actiniarum KMM 6156, DSM 19842",Gammaproteobacteria: Pseudomonas putida KT2440,Betaproteobacteria: Ralstonia solanacearum IBSBF1503,Betaproteobacteria: Ralstonia solanacearum GMI1000,Betaproteobacteria: Ralstonia solanacearum PSI07,Betaproteobacteria: Ralstonia solanacearum UW163,Gammaproteobacteria: Shewanella amazonensis SB2B,Alphaproteobacteria: Sinorhizobium meliloti 1021,Cyanobacteria: Synechococcus elongatus PCC 7942,Gammaproteobacteria: Pseudomonas syringae pv. syringae B728a,Gammaproteobacteria: Pseudomonas syringae pv. syringae B728a &Delta;mexB,Betaproteobacteria: Variovorax sp. OAS795,Gammaproteobacteria: Pseudomonas simiae WCS417,Gammaproteobacteria: Xanthomonas campestris pv. campestris strain 8004,Betaproteobacteria: Acidovorax sp. GW101-3H11,Alphaproteobacteria: Azospirillum brasilense Sp245,Gammaproteobacteria: Pseudomonas stutzeri RCH2,Gammaproteobacteria: Pseudomonas fluorescens GW456-L13,Gammaproteobacteria: Pseudomonas fluorescens FW300-N1B4,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2E3,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2C3,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2E2,Gammaproteobacteria: Rhodanobacter denitrificans FW104-10B01
(+)-Arabinogalactan,,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Pentanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,2-Propanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,3-Butandiol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,4-B-D-Galactobiose",,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,4-Butanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,5-Pentanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
2'-Deoxycytidine,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2'-Deoxyinosine,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Deoxy-D-ribonic acid lithium salt,,Growth,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Deoxy-D-Ribose,No Growth,Growth,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
2-Deoxyadenosine monohydrate,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Deoxyadenosine 5-monophosphate,,Growth,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-1-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
2-Piperidinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-methyl-1-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-Methyl-2-Oxobutanoic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-methyl-2-oxopentanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-methyl-3-butenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
4-Aminobutyric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
4-Hydroxybenzoic Acid,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,
4-Hydroxyvalerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
4-Methyl-2-oxovaleric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
5-Aminovaleric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
5-Keto-D-Gluconic Acid potassium salt,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
6-O-Acetyl-D-glucose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-Cyclodextrin,No Growth,,,,Growth,No Growth,,,,Growth,Growth,No Growth,,,,No Growth,,Growth,No Growth,Growth,No Growth,Growth,Growth,,No Growth,,No Growth,,,,No Growth,Growth,Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
a-Ketoglutaric acid disodium salt hydrate,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,Growth,,,,Growth,,Growth,Growth,No Growth,Growth,No Growth,,,No Growth,,Growth,,,,Growth,Growth,No Growth,Growth,,Growth,,,,,Growth,No Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
Acetylated xylan,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actilight,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenine hydrochloride hydrate,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Adenosine,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,Growth,,Growth,,No Growth,,,,No Growth,Growth,No Growth,No Growth,,,,,,,Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,
Agro_defined_trehalose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amylopectin from maize,,,Growth,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amylose from potato,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avantafiber,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azelaic acid,,Growth,,,,,Growth,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Beta-Lactose,No Growth,,Growth,,Growth,No Growth,Growth,,,Growth,Growth,No Growth,,,,No Growth,,Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,No Growth,,,,,,,No Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Bimuno-prebiotic,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioecolians-prebiotic,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Butyl stearate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Carnitine Hydrochloride,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,
casamino acids,Growth,,,,,Growth,Growth,,,Growth,No Growth,Growth,,,,Growth,,No Growth,Growth,Growth,Growth,Growth,,Growth,Growth,,Growth,,,Growth,Growth,Growth,No Growth,Growth,,,,,,,Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
Chondroitin sulfate A sodium salt from bovine trachea,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citric Acid,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
CravingZGone-prebiotic,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytidine,Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,Growth,No Growth,Growth,,Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,Growth,No Growth,,,,,Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,
Cytosine,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Alanine,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,Growth,Growth,No Growth,Growth,,No Growth,,Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,No Growth,,,,,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
D-Arabinose,No Growth,,,,Growth,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Cellobiose,No Growth,,Growth,,,No Growth,Growth,,,Growth,Growth,No Growth,,,,No Growth,,Growth,No Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,,No Growth,,,,No Growth,No Growth,Growth,Growth,,,,,,,Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Fructose,No Growth,Growth,Growth,,Growth,Growth,Growth,,,No Growth,Growth,Growth,,,,No Growth,,Growth,No Growth,Growth,Growth,Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
D-Galactose,No Growth,Growth,Growth,,Growth,Growth,Growth,,,No Growth,Growth,No Growth,,,,No Growth,,Growth,Growth,No Growth,Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,Growth,Growth,No Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,
D-Galacturonic Acid monohydrate,No Growth,Growth,,,Growth,Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,No Growth,Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,No Growth,,Growth,,,,,No Growth,No Growth,,,,,Growth,,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,
D-Gluconic Acid sodium salt,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
D-Glucosamine Hydrochloride,Growth,Growth,,,Growth,Growth,Growth,Growth,,No Growth,Growth,No Growth,,,,No Growth,,Growth,No Growth,Growth,Growth,No Growth,Growth,,Growth,,No Growth,,,,No Growth,Growth,Growth,No Growth,,,,,,,No Growth,Growth,,,,,Growth,,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Glucose,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,,,,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,Growth,,Growth,,,,,Growth,Growth,,,,Growth,Growth,,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Glucose-6-Phosphate sodium salt,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
D-Glucuronic Acid,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,
D-Leucrose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-Lysine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
D-Maltose monohydrate,Growth,,Growth,,Growth,No Growth,,Growth,,Growth,Growth,No Growth,,,,Growth,,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,,No Growth,,,,No Growth,Growth,Growth,No Growth,,,,,,,Growth,Growth,,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
D-Mannitol,No Growth,,,,,Growth,,,,Growth,Growth,No Growth,,,,Growth,,No Growth,No Growth,Growth,Growth,Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,Growth,,,,,,,Growth,Growth,,,,,Growth,,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,
D-Mannose,No Growth,Growth,,,Growth,Growth,Growth,,,Growth,Growth,No Growth,,,,Growth,,No Growth,Growth,Growth,Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,Growth,,,,,,,Growth,Growth,,,,Growth,Growth,,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,
D-Raffinose pentahydrate,No Growth,,,,Growth,No Growth,Growth,Growth,,Growth,Growth,No Growth,,,,No Growth,,Growth,No Growth,Growth,No Growth,Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,Growth
D-Ribose,No Growth,Growth,Growth,,Growth,Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,
D-Salicin,No Growth,,,,,No Growth,,,,Growth,Growth,No Growth,,,,No Growth,,Growth,No Growth,Growth,No Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,No Growth,,,,,,,No Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Serine,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,
D-Sorbitol,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,
D-Tagatose,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
D-Trehalose dihydrate,No Growth,,Growth,,Growth,No Growth,Growth,,,No Growth,Growth,No Growth,,,,Growth,,Growth,No Growth,Growth,Growth,Growth,Growth,,No Growth,,Growth,,,,No Growth,No Growth,Growth,Growth,,,,,,,No Growth,Growth,,,,,Growth,,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth
D-Xylose,No Growth,Growth,,,Growth,Growth,Growth,,,Growth,Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,Growth,Growth,
Decanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Deoxyribonucleic acid from herring sperm,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dextran, Mw ~200,000",,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disodium Glutarate,,Growth,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D,L-Malic Acid",No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Dodecandioic acid,,Growth,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol,No Growth,,,,,No Growth,,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,Growth,Growth,No Growth,Growth,Growth,Growth,No Growth,
Ferulic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Fibersol-2-AG-fiber,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fructooligosaccharides (FOS),,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fructooligosaccharides from chicory,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fumaric acid,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelatin,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,Growth,,No Growth,,,,No Growth,Growth,No Growth,No Growth,,,,,,,Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Glucuronamide,No Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Gly-DL-Asp,Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
